BANANA DATASET

Training time (400 samples): 346.1406018733978 seconds

Accuracy @ K = 10: 0.7075
Accuracy @ K = 20: 0.7675
Accuracy @ K = 30: 0.8225
Accuracy @ K = 40: 0.8325
Accuracy @ K = 50: 0.845
Accuracy @ K = 60: 0.8525
Accuracy @ K = 70: 0.8475
Accuracy @ K = 80: 0.86
Accuracy @ K = 90: 0.88
Accuracy @ K = 100: 0.885
Accuracy @ K = 110: 0.88
Accuracy @ K = 120: 0.885
Accuracy @ K = 130: 0.8925
Accuracy @ K = 140: 0.8875
Accuracy @ K = 150: 0.8925
Accuracy @ K = 160: 0.8825
Accuracy @ K = 170: 0.89
Accuracy @ K = 180: 0.89
Accuracy @ K = 190: 0.8875
Accuracy @ K = 200: 0.895
Accuracy @ K = 210: 0.885
Accuracy @ K = 220: 0.8975
Accuracy @ K = 230: 0.905
Accuracy @ K = 240: 0.9025
Accuracy @ K = 250: 0.9075
Accuracy @ K = 260: 0.91
Accuracy @ K = 270: 0.905
Accuracy @ K = 280: 0.905
Accuracy @ K = 290: 0.9075
Accuracy @ K = 300: 0.9075
Accuracy @ K = 310: 0.91
Accuracy @ K = 320: 0.9125
Accuracy @ K = 330: 0.9125
Accuracy @ K = 340: 0.915
Accuracy @ K = 350: 0.9125
Accuracy @ K = 360: 0.915
Accuracy @ K = 370: 0.9175
Accuracy @ K = 380: 0.915
Accuracy @ K = 390: 0.9125
Accuracy @ K = 400: 0.915
Accuracy @ K = 410: 0.915
Accuracy @ K = 420: 0.915
Accuracy @ K = 430: 0.915
Accuracy @ K = 440: 0.915
Accuracy @ K = 450: 0.915
Accuracy @ K = 460: 0.9125
Accuracy @ K = 470: 0.915
Accuracy @ K = 480: 0.915
Accuracy @ K = 490: 0.915
Accuracy @ K = 500: 0.9175
Accuracy @ K = 510: 0.9175
Accuracy @ K = 520: 0.9175
Accuracy @ K = 530: 0.9125
Accuracy @ K = 540: 0.915
Accuracy @ K = 550: 0.92
